country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion,deathsPerOneMillion,tests,testsPerOneMillion,population,continent,oneCasePerPeople,oneDeathPerPeople,oneTestPerPeople,data_collected_at
Djibouti,15690,0,189,0,15427,74,0,15441,186,305941,301094,1016097,Africa,65,5376,3,2025-03-23 19:32:41
Dominica,16038,0,74,0,15964,0,0,221691,1023,229344,3170187,72344,North America,5,978,0,2025-03-23 19:32:41
Dominican Republic,675890,0,4384,0,671316,190,4,61131,397,3740928,338350,11056370,North America,16,2522,3,2025-03-23 19:32:41
Ecuador,1070188,0,36043,0,1034145,0,0,59083,1990,3082403,170173,18113361,South America,17,503,6,2025-03-23 19:32:41
Egypt,516023,0,24613,0,442182,49228,122,4861,232,3693367,34792,106156692,Africa,206,4313,29,2025-03-23 19:32:41
El Salvador,201855,0,4230,0,179410,18215,0,30816,646,2610114,398467,6550389,North America,32,1549,3,2025-03-23 19:32:41
Equatorial Guinea,17229,0,183,0,16907,139,5,11512,122,365697,244342,1496662,Africa,87,8178,4,2025-03-23 19:32:41
Eritrea,10189,0,103,0,10086,0,0,2782,28,23693,6470,3662244,Africa,359,35556,155,2025-03-23 19:32:41
Estonia,628070,0,3001,0,0,625069,0,475123,2270,6968103,5271239,1321910,Europe,2,440,0,2025-03-23 19:32:41
Ethiopia,501157,0,7574,0,488171,5412,0,4148,63,5565340,46066,120812698,Africa,241,15951,22,2025-03-23 19:32:41
Falkland Islands (Malvinas),1930,0,0,0,1930,0,0,545352,0,8632,2439107,3539,South America,2,0,0,2025-03-23 19:32:41
Faroe Islands,34658,0,28,0,0,34630,0,703959,569,778000,15802409,49233,Europe,1,1758,0,2025-03-23 19:32:41
Fiji,69117,0,885,0,67226,1006,0,75997,973,672883,739866,909466,Australia-Oceania,13,1028,1,2025-03-23 19:32:41
Finland,1516117,0,11958,0,1503989,170,0,272930,2153,12108977,2179850,5554960,Europe,4,465,0,2025-03-23 19:32:41
France,40138560,0,167642,0,39970918,0,0,612013,2556,271490188,4139547,65584518,Europe,2,391,0,2025-03-23 19:32:41
French Guiana,98041,0,420,0,11254,86367,6,312065,1337,651257,2072951,314169,South America,3,748,0,2025-03-23 19:32:41
French Polynesia,79254,0,650,0,0,78604,0,278902,2287,0,0,284164,Australia-Oceania,4,437,0,2025-03-23 19:32:41
Gabon,49051,0,307,0,48674,70,0,21038,132,1621909,695641,2331533,Africa,48,7595,1,2025-03-23 19:32:41
Gambia,12626,0,372,0,12189,65,0,4935,145,155686,60851,2558482,Africa,203,6878,16,2025-03-23 19:32:41
Georgia,1861665,0,17132,0,0,1844533,0,469082,4317,16920079,4263340,3968738,Asia,2,232,0,2025-03-23 19:32:41
Germany,38828995,0,183027,0,38240600,405368,0,462891,2182,122332384,1458359,83883596,Europe,2,458,1,2025-03-23 19:32:41
Ghana,171889,0,1462,0,170425,2,0,5306,45,2541625,78456,32395450,Africa,188,22158,13,2025-03-23 19:32:41
Gibraltar,20550,0,113,0,0,20437,0,609720,3353,534283,15852213,33704,Europe,2,298,0,2025-03-23 19:32:41
Greece,6101379,0,37869,0,0,6063510,0,591412,3671,102228365,9909078,10316637,Europe,2,272,0,2025-03-23 19:32:41
Greenland,11971,0,21,0,2761,9189,4,210117,369,164926,2894810,56973,North America,5,2713,0,2025-03-23 19:32:41
Grenada,19693,0,238,0,19358,97,4,173545,2097,182981,1612523,113475,North America,6,477,1,2025-03-23 19:32:41
Guadeloupe,203235,0,1021,0,0,202214,0,508349,2554,938039,2346306,399794,North America,2,392,0,2025-03-23 19:32:41
Guatemala,1291293,0,20289,0,1269891,1113,5,69484,1092,7593848,408622,18584039,North America,14,916,2,2025-03-23 19:32:41
Guinea,38572,0,468,0,37757,347,0,2782,34,660107,47607,13865691,Africa,359,29628,21,2025-03-23 19:32:41
Guinea-Bissau,9614,0,177,0,8929,508,6,4659,86,145231,70385,2063367,Africa,215,11657,14,2025-03-23 19:32:41
Guyana,74137,0,1300,0,72013,824,0,93366,1637,733218,923396,794045,South America,11,611,1,2025-03-23 19:32:41
Haiti,34667,0,860,0,33734,73,0,2968,74,132422,11337,11680283,North America,337,13582,88,2025-03-23 19:32:41
Holy See (Vatican City State),29,0,0,0,29,0,0,36295,0,0,0,799,Europe,28,0,0,2025-03-23 19:32:41
Honduras,474590,0,11165,0,0,463425,0,46432,1092,1660662,162472,10221247,North America,22,915,6,2025-03-23 19:32:41
Hong Kong,2937609,0,14924,0,2916005,6680,0,386309,1963,76127725,10011143,7604299,Asia,3,510,0,2025-03-23 19:32:41
Hungary,2230232,0,49048,0,2152155,29029,0,232164,5106,11394556,1186160,9606259,Europe,4,196,1,2025-03-23 19:32:41
